id,description
226,"Karuppu Kavuni Rice (Raw)
Commonly called by the name Emperor’s rice, black rice was believed to be consumed by ancient Chinese. This forbidden rice contains more phytonutrients in it.
It is highly rich in fiber, antioxidants and acts as a perfect detoxifier for liver, prevents diabetes, cancer
Many recipes are made using Black rice. Most popular among them is Dosa, puttu, Pudding with Coconut &amp; Mango, Risotto, plain rice with various curries and others.

Pack Variations: 1/2kg - ₹134, 1kg - ₹236, 2kg - ₹469, 5kg - ₹5723 "
231,"Exclusive Rice for Women.


Poongar Rice, is one of the traditional rice, it is slightly reddish in color and resembles Mappilai Samba Rice. It is hand pounded and has more minerals than other type of rice.
Poongar Rice helps to recover from celiac disease, cures diabetes, reduces cholesterol, increases the hemoglobin content in the blood and boosts the immune system. Regular intake of Poongar Rice by pregnant women, leads to normal vaginal delivery.
This rice is ideal to make Soft Idlies apart from preparing Dosa and other rice preparations.
"
236,"As its name suggests , Kattuyanam rice improves bone-density and strengthens our bones as equivalent to the strength of Elephant legs. Kattuyanam rice can is the enemy of diabetics. It improves immune system and heart health. Kattuyanam rice can be made easily as idly , dosa , porridge and can improve our health by relishing this organic rice variety.
"
241,"Bamboo Rice is one of most popular varieties of rice, grown in India Forest. It is the seed that is produced by a flowering bamboo at the end of its life span.
Bamboo rice is rich in various nutrients and minerals including carbohydrates, fibre and protein. Bamboo rice has properties that enhances fertility. Bamboo rice tastes like wheat but has a low glycemic index which best suits for diabetic patients.
Bamboo rice is a medicinal rice used in Ayurveda, used to treat many types of diseases. Bamboo rice removes toxins from body and keeps body fit and healthy.
Bamboo Rice can be used to make Biryani, Bamboo Rice Puttu, Payasam and Bamboo Rice Dosa."
245,
246,"Kullakar Rice is one the red rice varieties from Tamilnadu. Kullarkar rice boosts immune system, strengthens body and nerves. Kullakar rice can be used regularly by diabetic patients. Recipes made of Kullakar rice will help in weight reduction."
256,"Organic Garudan Samba has a unique nutty flavour and it is rich in nutrients and fiber. Garudan Samba improves immune system and helps in curing digestive disorders. UTI / Urinary infections, Anemia can be treated using Garudan Samba rice. Delicous Idly , Dosa and other rice varieties can be prepared using Garudan Samba Rice."
261,"Karun Kuruvai looks red in colour but belongs to black rice variety. Karunguruvai rice has many medicinal properties and it cures many diseases. Karun Kuruvai is well known to treat Elephantiasis arthritis and chickenpox. It is also called as Indian ""Vyagra"". Karun Kuruvai boosts immune system and strengthens nervous system. Karunguruvai can be used and consumed everyday like normal rice."
266,"Kudavazhai rice belongs to red rice variety. It is one of the tradition rice varieties of Tamilnadu. Kudavazhai is loaded with vitamins and rich minerals that strengthens muscles, keeps diabetics in control, boosts the immune system. The rich fiber present in Kudavazhai rice improves digestion, cures constipation and cleans the toxic present in intestine. "
271,"Ponni literally means Gold in Tamil and also refers to River Kaveri. Parboiled rice is a better source of fiber, calcium, potassium and vitamin B-6 than regular white rice. Parboiling makes white rice nutritionally similar to brown rice. Organic Parboiled Ponni rice has a unique aroma and texture. Ponni boiled rice improves heart health , blood circulation and is good for diabetic patients as it has low glycemic index"
276,"Navara rice is well known for its medicinal properties. Black glumed Navara rice can be used as a weaning food for babies. It cures many respiratory illness. Navara rice is suitable for all age groups.
Gruel/Porridge made of Navara Rice and cow's milk improves lactation. Black glumed Navara rice is rich in iron so it is a best rice for anemic patients.
It is considered to boost immune system and safe for diabetic patients."
281,"Rajamudi rice is one of the traditional royal rice of Mysore. It’s an unpolished red rice which can be consumed every day replacing the white rice. Fibre-rich Rajamudi helps in digestion and aids in weight loss. On regular consumption, the zinc present in Rajamudi rice boosts the defence mechanism in our body."
286,"Organic Idli rice is nutritious and free of chemicals. Organic Idli rice requires less time to soak and yields more batter. Soft, fluffy Idli’s and crispy healthy Dosa’s are no more a big deal!"
291,"The word ‘Thangam’ is derived from Tamil, which means ‘Gold’, giving the rice variety its name “Thanga Samba” as its grains look golden colored. Thanga Samba rice has loads of health benefits compared to normal white polished rice. It has anti-aging properties and helps in keeping us healthy by improving our stamina level. We are providing Thanga Samba Parboiled Organic Rice."
296,Kichili Samba Broken Rice
301,"Arubathaam Kuruvai rice is known for its ability to strengthen bones and provides healthier body. Arubathaam Kuruvai rice is typically red in color and is noticeably thicker than other varieties of rice, making it flavorful when cooked. Arubatham Kuruvai suits for making many types of traditional snacks varieties along with our normal Idly, Dosa varieties."
311,"Kattuyanam Raw Rice
color of rice is slight red or pink"
316,"Ottadaiyan rice is a type of hand-pounded rice. It is red in color and has similar benefits as black rice. Ottadaiyan rice improves immunity and strengthens our body. It provides a large amount of stamina, which helps in being active all day. Recipes like idly, dosa and puttu can be easily made with ottadaiyan rice."
357,
359,"Bring a classic look to your kitchen with a zest of health benefits by using our unique clay coffee/tea mug.
Enhance the natural flavour of your beverage with this perfect beauty - clay cup/mug.

Our products are made of pure natural clay and are unglazed.
Reusable and washable. 
No chemical, No artificial colors.
Bio-degradable
Eco-friendly


Cleaning instructions:

For the first use, soak the product in water for 24hrs.
For regular usage, clean with hot water &amp; brush.
No chemical washing products are required.
Use rock salt and scrub pad &amp; soak in hot water for half an hour, to clean stubborn stains.
Make use of baking soda to remove absorbed odours of garlic, onion etc
"
360,"Cow dung is great manure for plant.
This pack contains Eco-friendly Cow dung Pot (5.5 x 5.5 inches) + Cocopeat 

No-chemical, no plaster of Paris, no artificial colors.
100% unglazed pure 
Organic cow dung fertilizer
"
361,Plantable Ganesha
362,"Ingredients:
Our Handmade Aloe vera, Cucumber &amp; Moringa Soaps are made with Pure cold-pressed Coconut oil, Pure cold-pressed Castor oil &amp; Organic Moringa Juice. No artificial colors - No artificial fragrance
Net weight (1 soap) - 100gms"
363,"Ingredients:
Our Handmade Orange Peel Soaps are made with Pure cold-pressed Coconut oil, Pure cold-pressed Castor oil &amp; Organic orange peel powder
No artificial colors - no artifical frangrance
Net weight (1 soap) - 100gms
"
364,"Ingredients:
Our Handmade Vettiver Soaps are made with Pure coldpressed Coconut oil, Pure coldpressed Castor oil &amp; Vettiveru Herb
No artificial colors
No artifical frangrance
Net weight (1 soap) - 90gms"
365,"Handmade Carrot Natural Soap for skin lightening.
Net weight (1 soap) - 100gms"
366,"Our Handmade Greengram Soaps are made with Pure coldpressed Coconut oil, Pure coldpressed Castor oil and Pure Green Gram Powder. 

Net weight (1 soap) - 100gms

Our soaps are free from artificial and chemical colors. 
We use pure essential oils for aroma. "
367,"Our Handmade Charcoal Soaps are made with Pure coldpressed Coconut oil, Pure coldpressed Castor oil, Pure activated carbon.
Our Activated Charcoal is obtained by burning organic coconut shell/husks.
Keep in a cool and dry place, avoid direct sunlight.
Made with Organic ingredients.
Our soaps are free from artificial and chemical colors.
We use pure essential oils for aroma.
Suitable for all skin types.

Net weight (1 soap) - 100 gms"
368,"Our Handmade Aloevera Neem Soaps are made with Pure coldpressed Coconut oil, Pure coldpressed Castor oil, Pure extract of Neem and Natural Aloevera Gel.
Aloevera &amp; Neem acts as a perfect combination to keep your skin hydrated and glowing. Aloevera soothes the skin and its anti-ageing properties makes you look young and beautiful. Neem cures acne problems and makes this a best choice for sensitive skin types.

Keep in a cool and dry place, avoid direct sunlight.
Made with Organic ingredients.

Net weight (1 soap) - 100gms"
369,"Our Handmade Kuppaimeni Soaps are made with Pure coldpressed Coconut oil, Pure coldpressed Castor oil, Pure extract of Kuppaimeni (Acalypha indica).
Kuppaimeni is naturally Anti-bacterial, Anti-Vatha. It cures many skin problems. Detoxifies skin, clears acne/pimple problems. Our Kuppaimeni soaps are well known to cure skin itching and skin allergies.

Keep in a cool and dry place, avoid direct sunlight.
Made with Organic ingredients.

Net weight (1 soap) - 100gms"
370,"Our Handmade Shikakai Herbal Handmade soap is made of pure cold-pressed coconut oil, cold-pressed castor oil and a mix of 20 herbs that benefit hair growth and acts as a natural cleanser to your hair.
No artificial colour
No chemicals
Net weight: 100 gms (1 soap)"
371,"Our Handmade Nalangu Maavu Herbal Soaps are made with Pure coldpressed Coconut oil, Pure coldpressed Castor oil, Pure Nalangu Maavu Herbal Powder / Organic Herbal Bath powder.
Net weight (1 soap) - 100gms"
372,"Our Handmade Multani mitti Natural Soaps are made with Pure coldpressed Coconut oil, Pure coldpressed Castor oil, Pure Multani Mitti Powder / Fuller's earth and Natural Rose Water.
Net weight (1 soap) - 100gms"
373,"Loofahs are natural, organic and eco-friendly body scrubs that help you to cleanse and exfoliate your skin in a gentle way. Loofahs are commonly used due to its various health benefits related to glowing skin. It is made out of ridge gourds. Ridge gourds attain a sponge-like scrub texture when it is completely ripe and dried. 
Unlike plastic body scrubs and sponges, loofah is completely plant-based and bio-degradable. 
Pamper yourself with guilt-free natural scrub along with 100% https://www.ulamart.com/en/personal-care/.
374,"Vetiver face mask is a herbal mask made of natural Vetiver herb and pure cotton material. Vetiver mask is eco friendly and can be washed and reused several times. The earthy fragrance of Vettiver acts as a natural rejuvenator for mind and body.

Reusable
Washable
Ecofriendly
100% Natural
"
391,
392,
393,
394,
395,"Sesame seeds may be tiny, but the oil extracted from it has huge health benefits. It is full of protein (contains 4.7gms of protein per ounce) which comes to nearly 20% of the seed.
It is highly rich in unsaturated fats, and got enough anti-oxidants. It lowers Blood pressure, treats Arthritis, good for skin, hair and oral health. Good for digestion, protects liver from alcohol’s impact and much more.
It is used to prepare Sesame chicken, Asian sesame chicken salad, Ell urundai, pulao, sesame apple salad and much more."
399,"Groundnut Oil is typically yellow in color and is a good source of fats and contains anti-oxidants, which helps to boost immune system and helps in reducing bad cholesterol.
It helps in curing heart issues, skin issues and boosts immune system. A good source of high energy, when consumed continuously keeps you young with glittering skin.
It can be used to prepare chutney, samosa, different curry items and much more."
403,"Known for its anti-bacterial, anti-viral activities, coconut oil is full of anti-oxidants and got MCFA. It differs from normal coconut oil in terms of extraction, refining appearance, composition and health benefits.
It helps in boosting immune system, treats skin, hair related problems. Since it has got Lauric acid in it, coconut oil cures problems in various parts of human body like liver, kidney and pancreas. It also reduces cholesterol and has got vital nutrients."
407,
408,"Honey is considered a god food right from the ancient time. It is highly recommended to all ages as it comprises of antiseptic, antifungal, antibacterial and antiviral properties.
It treats skin issues, cold, cough and prevents bad cholesterol. It also helps in boosting immune systems and enhances energy level of your body."
410,
411,
412,"It is mostly extracted from the flowers of Van Tulsi (Vana Thulasi in Tamil). It has a pleasant aroma and extremely tasty.
It contains vitamins like A, B-complex, C, D, E, K and a large composition of minerals. It also consists of numerous live enzymes that are required to give you long life health benefits. These health benefits will not be found in any super food these days.
Having Tulsi honey on the dining table increases immune system and prevents us from cough, cold and fights other diseases."
414,
415,
416,"It is also known by the name Dark Honey and Veppilai Then in Tamil.
Indigenous to Tamil Nadu and Malaysia, which are the two major places where wild raw honey is extracted, Neem Honey is considered as a gift/remedy, as it has got almost all medicinal value in it.
It’s got a distinctive gingerbread taste and flavors like exotic spices. Once you experience the wild sweetness of this honey, you’ll never go back to the farmed honey.
It is an effective and proven cure for acne and all types of skin issues.
It helps in treating various respiratory problems like asthma and bronchitis."
418,
419,
420,"It is considered as God’s food and hence given the common name elixir.
It is capable of fighting illness and acts as an anti-ageing tonic.
It has numerous health benefits and mainly helps in controlling and preventing diabetes.
It helps in decreasing the level of sugar in urine."
422,
423,
424,"Native of South India, Muringo honey is Dark brown in color. The bees collect the honey from Murungai poo (Drumstick Flower) of Murungai maram which are found in almost all the houses of South India, especially Tamil Nadu.
Since Murungai Poo has got the right potential for curing impotency in men, consuming its honey will evidently increase sperm count and increases fertility."
426,"Little Millet is mostly consumed as replacement of rice. Any recipe that demands staple rice can be prepared using little millet. It has the smallest grains, so it cooks faster than other millets. Little millet is suitable for people of all age groups. The flavonoids present in the little millet act as antioxidants and play many roles in the body’s immune defense system. Consuming Little Millet regularly , reduces the risk of breast cancer and asthma."
431,"Foxtail Millet is rich in vitamins and minerals. This little grain has low glycemic value which best suits for diabetic patients and to all age groups.
Millets are mentioned as a treasured crops in the Bible.
Easily digestible and provides serotonin which keeps us in happy mood."
436,"Pearl Millet is rich in essential compounds like protein, fibre, phosphorous, magnesium and iron. Due to its rich composition of minerals and proteins, Pearl Millet has many health benefits. Regular intake of millets provides protection against breast cancer in pre-menopausal women. Consumption of pearl millets helps in minimizing the risk of type 2 diabetes.
"
441,"Porso Millet is gluten-free and is well known in reducing the risk of Type-2 Diabetics and inducing weight loss. All Millet varieties aid in weight loss as they are rich in essential nutrients and less carbohydrate. Porso Millet can be used as a replacement of rice to boost the overall immune system."
446,"Banyard Millet tastes similar to broken rice and it’s widely used as fasting food in India. Like other millets, barnyard millet is rich source of digestible protein that makes you feel light and energetic. Millets are known to aid in weight loss and improve heart health."
451,"Ragi is a powerhouse of health benefiting nutrients that help in reducing weight and also acts as a treatment for multiple diseases like Brittle Bones, Osteoporosis, Anemia and Diabetes. It is a natural relaxant that helps in relieving stress and anxiety. Regular intake of Finger millet saves us from many forms of life threatening diseases."
456,"Non-iodized raw sea salt is created by harvesting ocean water and allowing it to evaporate, leaving behind salt crystals. Non-iodized sea salt is the preferred type of salt because it does not include extra additives or preservatives often present in other types of salt."
463,Organic Country sugar / Powdered Jaggery preserves all the original vitamins and minerals. Organic country sugar is chemical free and it is extracted from raw sugarcane without adding any additives. Switching from white sugar to organic country sugar helps improve the overall immune system.
468,"Organic Black Urad Dal is one of the richest sources of Vitamin B, protein and iron. It is well known to the strength of bones and the folic acid present in Urad dal is good for pregnant woman. Urad dal kali is given to girls during puberty to strengthen their hip bones."
473,"Introducing Organic Green Gram to your diet gives green signal to good health. Green gram is gaining its popularity and nearing its place to superfood category. It acts as a wonderful non-meat source of iron and protein. Organic Green gram has a unique taste when compared to the normally grown Green gram. Organic green gram’s flavor, taste, aroma and texture will make you easily add it to your daily diet.
Green gram can be consumed raw in sprouted form which will provide you with the maximum health benefit.
Green gram can be used to make Dosa and different types of Curries."
478,"Split Black Urad Dal is a type of dal that is very easy to cook and contains lots of nutrients. It has a slightly stronger flavor unlike white urad dal, which makes it unique. It is rich in protein, fiber and various vitamins that help in making your body healthier.
Split Black Urad Dal is especially good for women since it contains folic acid and is a good source of iron as well. It can be used to make dishes like Urad Dal curry, Maa ki dal, Shahi Urad dal and Dal Makhani. .
 Black Urad dal can be used as a replacement to White Urad dal as the skin provides additional fiber and nutrition.
"
483,"White Urad dal is also used in Ayurveda to boost immune system and overall strengthening of body as it is a nutritious and rich pulse variety. Organic White Urad Dal will strengthen bones and the folic acid present in Urad dal is good for a pregnant woman.
Apart from being the main ingredient for making soft idlies and crispy dosa, vada there are numerous healthy dishes which are can be made using White whole urad dal. Urad dal kali is given to girls during puberty to strengthen their hip bones."
488,"Unpolished Toor dal is a fiber rich food, a superior source of plant protien, carbohydrates and various kinds of nutrients. It helps in lowering risk of Type 2 diabetes, certain type of cancer and manage your weight. Choose unpolished organic Toor Dal to get maximum health benefit. "
493,"Our organic pepper is free from pesticide and chemicals. Spice up your kitchen with this versatile and original spice of South India. Organic pepper helps reduce bad cholesterol, diabetics and improves the overall health of gut and brain.
"
496,"Ulamart’s unique Homemade Sambar powder brings home the authentic south Indian taste with fresh and 100% natural ingredients. Simply add this Sambar powder to your normal sambar and feel the difference with its tempting flavour and aroma.
No artificial flavours or colours.
No MSG.
No preservatives.
Storage: Store it in an airtight container in a cool and dry place."
499,"Ulamart’s turmeric powder made from naturally grown turmeric Get our turmeric powder to feel the flavour and aroma.
No artificial flavours or colours.
No MSG.
No preservatives.
Storage: Store it in an airtight container in a cool and dry place."
521,"This combo pack has 5 types of traditional rice which are highly nutritious and good for everyday consumption.
Idli Rice is healthy, organic and must-have rice while preparing traditional Indian breakfast recipes.
Kichili Samba organic rice has fine grains and has a special flavour and best suits for giving a twist to your normal recipes.
Thooyamalli rice gets its name from Thuya (Pure) and Malli (Jasmine), pure jasmine because the grains of this rice looks like jasmine buds. 
Ponni boiled rice is well known to have a good amount of fibre content and it is also filled with other necessary nutrients. 
Seeraga Samba rice gets its name from Seeragam (cumin), due to its resemblance to cumin. Suits well for Biryani varieties.

Quantity
Ponni Boiled 1 Kg
Idli Rice 1 Kg 

Seeraga Samba  1 Kg 
Kichili Samba 1 Kg 

Thooyamalli  1 Kg 
 "
522,"Groundnut Oil , Coconut Oil, Sesame Oil

Oil Quantity
Groundnut Oil 1 litre 
Coconut Oil 1 litre 

Sesame Oil 1 litre 
 "
523,"Combo Pack

STATIONERY Quantity
Clay Pen stand 1 
Paper pen - 5 count 1 pack 
 



Pen ink color - Blue"
524,"Kudampuli is a magical fruit and a versatile spice. This Malabar Tamarind is a natural anti-oxidant and is an effective catalyst in weight loss. Kudampuli is an integral part of Kerala’s Ayurvedic medicine. Kudampuli has a sour taste and is used to prepare fish curry, juice and chutney."
526,"Neem oil is a carrier oil, extracted from Neem seed. This sacred oil can be the best addition to your beauty regime. Neem oil is an excellent skincare product that cured dandruff, scalp dryness, scalp itching, eliminate lice, mites, prevents premature graying and baldness. Treats acne, pimples scars, psoriasis, eczema, and any type of fungal/bacterial infection on the skin.
Note: Neem oil is strictly for external usage only."
527,"A4 Paper made from sugarcane - 500 Counts
Recycled paper made from sugarcane

Purpose: Printing, Writing etc
Color: 90% white"
528,"Newspaper pencil"
529,"Rainbow paper pencil"
530,"Paper pen Could be an alternative to Plastic Based Pens."
531,"Mappillai Samba raw rice : Mappillai Samba rice is a type of traditional rice from Tamil Nadu. It is usually red in color and has a lot of nutritional value. It has a unique and starchy taste. It has high fibre content which helps in easy digestion. It also helps boosts immunity.
Black Rice : Black rice was consumed in Ancient China. It is also known as Forbidden rice, because only people from the royal upper class had access to it, preventing the public from consuming it. It prevents many diseases and helps in healthy functioning of brain.
Combo pack raw rice, Mappillai Samba, and Black rice are for sale.(Each 1 kg)

Quantity
Mappillai Samba 1 kg 
Black rice(karuppu kavuni) 1 kg 
 "
532,"Combo pack Barnyard Millet, Pearl Millet, Finger Millet, Foxtail Millet, Little Millet and Proso Millet are for sale

Millets Quantity
Barnyard Millet 500gm 
Pearl Millet 500gm 

Finger Millet 500gm 
Foxtail Millet 500gm 

Little Millet 500gm 
 "
533,"Mappillai Samba Rice flour is rich in fibre, vitamins, iron and micronutrients which boosts the immune system and protects us from diseases. Mappillai Samba Rice flour can be used to make delicious breakfast and snacks varieties. Replace White rice flour with Mappillai Samba Rice flour to give a healthy boost to your health.

At Ulamart, we take unique care while converting the Mappillai Samba rice into flour. We see to that, it is cleaned and powdered using traditional methods to get the maximum benefit from its nutrients.
"
538,"Ulamart’s uniquely blended health mix provides you with vital nutrition with a good source of protein, complex carbohydrates, fibre, iron, calcium, phytochemicals, omega 3 fatty acid. This health mix is gut-friendly and diabetic friendly. It has a natural flavour of virgin ingredients with an appetizing taste. This Health mix aids you in keeping away many forms of chronic diseases.
Alternative Names:  Health Drink | Porridge Mix | Multigrain Instant Mix | Sathu Maavu Kanji
 "
539,
540,
541,
542,
543,"Finger Millet is one of the popular millet which is rich in multi nutrients. Finger Millet flour is pale pinkish in color and has high protein content and it is also gluten-free. It is rich in antioxidants which helps the body in preventing many diseases. Finger Millet flour is high in calcium which keeps our bones strong and healthy, preventing osteoporosis. It is rich in minerals and fibre which helps in easy digestion. Enjoy healthy delicacies like finger millet roti, dosa and boost your immune system.
Storage: Store it in an airtight container in a cool and dry place.
"
547,
548,"Pearl Millet flour is filled with minerals and proteins. It is completely gluten-free, and has various health benefits. Pearl Millet flour is rich in iron, fibre, magnesium and potassium. It is helpful in maintaining good heart health and prevents constipation. Pearl Millet flour also has phytochemicals that are known to prevent cancer. It contains loads of antioxidants which prevents many diseases. Deliciously healthy snacks and breakfast varieties can be prepared using Pearl Millet flour.
Storage: Store it in an airtight container in a cool and dry place."
553,
554,"Black rice muruku vathal / Black rice / Karuppu kavuni muruku vathal

"
556,
557,
558,
559,"Homemade sundried Black Rice Fryums feeds your craving taste buds along with the mouth-watering taste and nourishment. Taste these guilt-free vadams which provides you with all the benefits of Black rice in a much easier way.
Black rice vathal can be tasted as a side dish with rice or as a healthy evening snack.
It is a unique product of Ulamart, prepared in a clean environment with utmost care.
No MSG
No Preservatives"
561,
562,
563,"Black rice flour is gluten-free which is rich in fibre, antioxidants, rare micronutrients and vitamins which are not commonly found in our normal day to day food. This wholesome Forbidden rice flour turns your normal diet into a superfood diet.
Make your breakfast or evening snacks with Purple rice flour and provide your family with a healthy life.
At Ulamart, we take special care to clean the rice with the touch of tradition and carefully turn it into flour without losing its important nutrients and vitamins.

Check out our Black Rice blog to find fascinating details about Black rice.
Pack Variations: 1/2 kg - 125, 1kg - 200, 2kg - 385, 5kg - 950, 25kg - 4750
"
568,Mappillai Samba flakes are highly nutritious and has a good amount of probiotics. It has the same benefits of Mappillai Samba rice and helps in having good gut health. Mappillai Samba poha keeps blood sugar levels under control and is recommended for people with diabetes.
572,Poongar rice flour
606,"Ulamart Cow Ghee is obtained using traditional methods from the oldest native Kanchipuram Kuttai cows. These cows are indigenous to Tamilnadu which graze in the natural organic environment. Kanchikuttai cow produces healthier A2 milk which has abundant nutritional value.
We do not process our Ghee / Clarified butter from the cream of milk. Instead, we use our age-old method of curdling the milk and churning it slowly in a bi-directional way, to separate the buttermilk and butter.
This pure butter is heated on a low flame to produce 100% pure Ghee. Ghee prepared using this method has the perfect aroma, texture, colour and flavour. And it also retains the maximum nutrition.
 Burst the myth about Ghee: 
There has always been a myth that Ghee makes you fat, induces cholesterol and high blood pressure. The answer is No. Ghee is the purest form of consumable animal fat which is in fact much better than refined vegetable oil. Ghee increases the good fat in your body which is much required to lead a healthy energetic life. It aids in reducing LDL and triglycerides (bad cholesterol).
Experience the taste of 100% pure Ghee. 
Free from unhealthy additives, preservatives and trans fats"
627,"Combo Pack
STATIONERY Specification Quantity
WIRO Notebook- 140 Pages A4 1 

WIRO Notebook - 140 Pages A5 1 

WIRO Notebook - 140 Pages A6 1 

WIRO Notebook - 140 Pages A7 1 
 
"
629,
632,"Mappillai Samba raw rice 
Indigenous to Tamil Nadu, this traditional rice is rich in minerals, vitamins and proteins that it is served to a bridegroom to prove his valiance. It strengthens body and boosts immune system and keeps us away from many health problems/disorders. Raw rice contains broken rices."
643,"Indigenous to Tamil Nadu, this traditional rice is rich in minerals, vitamins and proteins that it is served to a bridegroom to prove his valiance.
It strengthens body, improves stamina and boosts immune system and keeps us away from many health problems/disorders. It can be used to prepare idly, Dosa, pancakes and other rice recipes.
Mappillai Samba Par Boiled Rice contains broken rice."
648,
652,
653,
658,
663,
668,
673,"
known for maintaining sugar level in our body, Velchi is best grown in sandy and clay soil types.
It helps in lowering the cholesterol level in your body
It is used to prepare plain rice for meals
"
678,"
The husk of Varappu Kudainchan is black in color and rice is red in color. Varappu-ridge and Kudainchan-penetrator. The name Ridge penetrator is given because the roots of this type of rice grow deep into the soil.
It is a wonderful cure for Asthma. It also helps in preventing Anemia.
You could prepare ideal idly and other rice preparations.
"
699,"Let's do the Shopping Garbage-free!
This Bag contains six compartments and one Big Portion at the center to hold other shopping Items.
Best Suited for Grocery Shopping!"
711,Coming Soon
712,Coming Soon
713,
714,
715,"Our handmade, eco-friendly Clay bottle, purifies the water naturally, adds a unique flavour and taste to the water. It is an ideal bottle to use in summer as the natural process of evaporative cooling keeps the water naturally cool to quench your thirst. One can avoid drinking Ice water and get naturally cooled water using our Clay bottles. 
Use of Clay products neutralized the pH value of the food, hold the nutrients intact, boosts our immune system, cleanses the toxic out of our body and makes us healthy in a natural way.

Our products are made of pure natural clay and are unglazed.
No chemical, No artificial colors.
Bio-degradable
Eco-friendly


Product Description:
Capacity - 750 Ml
Cleaning instructions:

 For the first use, soak the product in water for 24hrs.
 For regular usage, clean with hot water &amp; brush. No chemical washing products are required.
"
716,"Our Clay cookwares are chemical free and is made of pure Indian Clay that are naturally rich in minerals. Stay healthy by using Clay cookwares, as it neutralizes the pH value of the food and makes the food easy to digest. The cooking time is reduced as the clay ware retains the heat. Clay wares makes the food delicious and nutritious.
Thatte Idly or Plate Idly is famous in South India. Its is bigger than normal Idly and relished as a breakfast. 
Can make 1 Thattu Idly with this set.

Our products are made of pure natural clay and are unglazed.
No chemical, No artificial colors.
Bio-degradable
Eco-friendly


Product Description:
1 Thattu Idly Set contains:
1 Bottom Clay pot to hold water.
1 Steamer to pour the batter.
1 Lid
Cleaning instructions:

 For the first use, soak the product in water for 24hrs.
 For regular usage, clean with hot water &amp; brush. No chemical washing products are required.
 Use rock salt and scrub pad &amp; soak in hot water for half an hour, to clean stubborn stains.
"
717,
